PSRJ,RA,Dec,l,b,Period,Pdot,Edot,DM,DIST,TS,Edot/D2
J1946-2913,295.7278025,81.10481497222221,113.37125739834572,24.825174400392857,0.959447931541423,1.4883397368863481e-15,6.652694507639676e+31,44.309,3.125,0.8155538545688614,6.812359175823028e+30
J1947-18,296.71555833333326,-29.22975,11.10797021470357,-24.12077521991733,0.00260323,0.0,0.0,25.0,1.101,0.0004879061598330736,0.0
J1947-4215,296.87916666666666,-18.97,21.541422123764338,-20.61720224182712,1.798069,0.0,0.0,35.0,2.202,0.0,0.0
J1947-43,296.775,-42.25,357.18273241135716,-27.711537458319395,0.18094,0.0,0.0,29.9,1.625,-5.145557224750519e-08,0.0
J1949-2524,296.75,-43.0,356.350446334694,-27.855234506457773,0.9576166302906218,3.270565014556545e-15,1.4703051714923286e+32,23.07,1.046,0.08048541203606874,1.3438293302468189e+32
J1956-28,297.35589208333334,-25.400270749999997,15.25982450716171,-23.38047849687955,0.2600144,0.0,0.0,45.69,3.729,3.6358944043749943,0.0
J2006-0807,298.99999999999994,-27.883333333333333,13.221681117679658,-25.590649598914876,0.580871337030867,4.601280764379578e-17,9.268269004673128e+30,32.39,2.6315598158677904,11.707816649461165,1.33835750384251e+30
J2010-1323,301.5681875,-8.117268611111111,34.10060621611797,-20.303597310141075,0.005223271016746625,4.8249753213492726e-21,1.3366790824716844e+33,22.177,1.9607700588818828,3.172503646579571,3.4767528451045256e+32
J2012-2029,302.6913379166666,-13.398911944444444,29.44561200756259,-23.539705321348425,0.54400187061,5.475e-16,1.3425877522530886e+32,37.67,2.809,6.638422540505417,1.7015284014410382e+31
J2013-0649,303.1941666666666,-20.491944444444446,22.410312578350815,-26.700854839984405,0.580187269001,6.007e-16,1.2142630621986893e+32,63.36,9.576,0.14653542055748403,1.3241723318917258e+30
J2027+7502,303.3239612499999,-6.818163888888889,36.17051812940501,-21.290505597457994,0.515218649151172,8.892583590510809e-16,2.5669237554285943e+32,11.71,0.761,9.342829526402056,4.432448064270842e+32
J2033+0042,306.84698083333325,75.04147694444444,108.3677149667374,20.312525607858213,5.013400111407841,9.69274543630302e-15,3.0367528277469025e+30,37.84,2.934,6.381999580655247,3.527680346568965e+29
J2033-1938,308.37966666666665,0.7066944444444444,45.8768012842727,-22.19621175586783,1.28171902379,4.55e-16,8.530856612679451e+30,23.47,1.525,6.166151623241603,3.6681995647103264e+30
J2038-3816,308.4808333333333,-19.649722222222223,25.313507012065283,-31.049078720072245,1.5772890848874963,4.161660186100198e-15,4.186898749336082e+31,33.96,3.588,1.6298145055770874e-09,3.252277464377171e+30
J2045+0912,309.7265,-38.271,3.8536395307147813,-36.74072208330978,0.3955551117394,1.952e-16,1.2451410357996812e+32,31.776,2.46,-0.00016836670693010092,2.0575402138272213e+31
J2046-0421,311.44726583333335,9.2081,55.362351140446485,-20.32890701602845,1.5469381168652414,1.471483234876527e-15,1.5692647992303192e+31,35.799,6.249954562686002,9.440550002036616,4.0173762982295485e+29
J2048-1616,311.5007208333333,-4.357293333333333,42.67840293634771,-27.387310829756657,1.9615723036126127,1.0958164098371598e-14,5.731714816858668e+31,11.456,0.95,20.561147277825512,6.350930544995755e+31
J2052+1219,312.14850265416663,-16.27904263888889,30.514309178471375,-33.07656740617468,0.00199,0.0,0.0,42.0,3.923,12.146611463278532,0.0
J2053-7200,313.1958333333333,12.3,59.11424837016554,-20.002087110255605,0.3413364057236207,1.9760886964796737e-16,1.961635613408961e+32,17.3,1.029,17.805787716060877,1.852625288791198e+32
J2105+07,313.44699999999995,-72.0118,321.8693736729236,-34.99832061172308,3.74663,0.0,0.0,52.6,25.0,4.598870055982843,0.0
J2108-3429,316.36249999999995,7.95,57.2023192683054,-25.053761080506632,1.4231018383,3.503e-15,4.798350133535695e+31,30.22,3.884,0.6233365111984313,3.180778979127774e+30
J2116+1414,317.1270416666666,-34.49386111111111,9.69777890141006,-42.16317679206477,0.4401530669474793,2.8926337658351626e-16,1.339189363138609e+32,56.2044,25.0,2.234674005769193,2.1427029810217742e+29
J2124+1407,319.05729999999994,14.239177777777776,64.46403025250677,-23.409391080804955,0.6940534790858597,7.680098910177329e-16,9.068756546863274e+31,30.2473,2.807,2.8652909898664802,1.150967122229958e+31
J2127-6648,321.19405541666663,14.122042638888889,65.7951519175563,-25.092429542359223,0.32577128742,2.26e-16,2.580653897881288e+32,35.0,5.992,6.058812733157538,7.187637304460265e+30
J2129-5721,321.8803333333333,-66.80780555555555,326.3920743369181,-39.777377067240344,0.003726348483867234,2.0853281575502875e-20,1.5910496873876031e+34,31.8509,3.2,4.907457582768984,1.553759460339456e+33
J2136-1606,322.34486235833333,-57.353947730555554,338.00540635999795,-43.5695847334124,1.22723540015,1.6e-17,3.4174022164091115e+29,18.48,1.633,-3.4117838367819786e-06,1.2815150984644673e+29
J2139+00,324.0009166666667,-16.103611111111114,36.20428627406075,-43.55447909554641,0.31247,0.0,0.0,36.0,25.0,0.8138769825454801,0.0
J2139+2242,324.92499999999995,0.6,55.91224264928685,-36.2611488236726,1.08351351364,1.421e-15,4.410124174559492e+31,44.15971,4.933,-7.37123191356659e-05,1.8122937262251499e+30
J2143+0654,324.86208333333326,22.711666666666666,75.29298698352744,-21.9203096290492,9.428228878119159,4.089008989797202e-14,1.9261382315558694e+30,0.0,0.0,0.8107808618806303,0.0
